iter	Passed	Remaining
555	45210	36103
556	45360	36076
557	45497	36039
558	45648	36012
559	45766	35959
560	45880	35903
561	45958	35818
562	46054	35747
563	46140	35669
564	46244	35604
565	46307	35507
566	46390	35426
567	46485	35355
568	46557	35265
569	46653	35194
570	46754	35127
571	46836	35045
572	46934	34975
573	47045	34915
574	47130	34835
575	47212	34753
576	47291	34669
577	47381	34593
578	47464	34512
579	47553	34435
580	47665	34375
581	47749	34294
582	47861	34233
583	48003	34194
584	48135	34147
585	48277	34107
586	48400	34053
587	48482	33970
588	48668	33960
589	48818	33924
590	48905	33844
591	49048	33803
592	49198	33767
593	49342	33725
594	49445	33656
595	49618	33634
596	49743	33579
597	49851	33512
598	49992	33467
599	50128	33418
600	50281	33381
601	50473	33369
602	50678	33365
603	50812	33313
604	51004	33300
605	51222	33303
606	51429	33297
607	51595	33265
608	51747	33223
609	51875	33166
610	52004	33109
611	52109	33036
612	52238	32979
613	52356	32914
614	52489	32859
615	52609	32795
616	52747	32742
617	52866	32678
618	52984	32612
619	53153	32577
620	53328	32546
621	53554	32545
622	53704	32498
623	53812	32425
624	53972	32383
625	54117	32331
626	54290	32297
627	54416	32233
628	54508	32150
629	54632	32085
630	54742	32012
631	54844	31934
632	54942	31854
633	55055	31782
634	55153	31702
635	55247	31619
636	55339	31535
637	55435	31454
638	55531	31371
639	55624	31288
640	55721	31207
641	55822	31128
642	55929	31052
643	56052	30985
644	56181	30921
645	56246	30822
646	56349	30744
647	56452	30665
648	56554	30586
649	56666	30512
650	56757	30427
651	56863	30350
652	56966	30271
653	57046	30180
654	57132	30092
655	57223	30007
656	57304	29916
657	57381	29824
658	57453	29729
659	57531	29637
660	57602	29542
661	57672	29446
662	57752	29355
663	57834	29265
664	57917	29176
665	57995	29084
666	58095	29004
667	58168	28910
668	58255	28822
669	58336	28733
670	58414	28641
671	58482	28545
672	58560	28453
673	58637	28361
674	58725	28275
675	58793	28179
676	58876	28090
677	58949	27996
678	59023	27903
679	59102	27813
680	59194	27728
681	59282	27641
682	59381	27560
683	59476	27477
684	59576	27396
685	59673	27314
686	59786	27239
687	59892	27160
688	59968	27068
689	60044	26976
690	60125	26887
691	60192	26790
692	60269	26699
693	60339	26605
694	60422	26516
695	60500	26425
696	60582	26336
697	60676	26252
698	60766	26167
699	60833	26071
700	60925	25986
701	61010	25899
702	61088	25808
703	61169	25719
704	61252	25630
705	61333	25541
706	61420	25454
707	61501	25365
708	61585	25276
709	61657	25184
710	61746	25098
711	61832	25010
712	61921	24925
713	62000	24835
714	62072	24742
715	62138	24647
716	62226	24560
717	62304	24470
718	62391	24383
719	62477	24296
720	62557	24207
